Drug Name,Description,,,,,,,,,,,,,,,,,,,,,,,,
Acebutolol,"Take with or without food. Food decreases absorption rate and maximum concentration, but not to a clinically significant extent.",,,,,,,,,,,,,,,,,,,,,,,,
Bisoprolol Fumarate,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Labetalol,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Carvedilol,Take with food. Food slows the absorption and reduces the incidence of adverse effects.,,,,,,,,,,,,,,,,,,,,,,,,
Celiprolol,Avoid fruit juice. Orange juice may reduce the absorption of celiprolol.,,,,,,,,,,,,,,,,,,,,,,,,
Celiprolol,Avoid grapefruit products. Grapefruit juice may reduce the absorption of celiprolol.,,,,,,,,,,,,,,,,,,,,,,,,
Celiprolol,"Take with or without food. The bioavailability of celiprolol may be reduced when taken with food, however, it is unlikely that this reduction is clinically relevant.",,,,,,,,,,,,,,,,,,,,,,,,
Metoprolol,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Metoprolol,Avoid natural licorice.,,,,,,,,,,,,,,,,,,,,,,,,
Metoprolol,Take with food.,,,,,,,,,,,,,,,,,,,,,,,,
Sotalol,Take with or without food. Oral sotalol with a meal reduces absorption by 20%.,,,,,,,,,,,,,,,,,,,,,,,,
Propranolol,Avoid alcohol. Alcohol increases propranolol plasma concentrations.,,,,,,,,,,,,,,,,,,,,,,,,
Propranolol,"Avoid natural licorice. Natural licorice inhibits the metabolism of propranolol, increasing drug exposure.",,,,,,,,,,,,,,,,,,,,,,,,
Propranolol,Take with food.,,,,,,,,,,,,,,,,,,,,,,,,
Pindolol,Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose.,,,,,,,,,,,,,,,,,,,,,,,,
Pindolol,Take with or without food. Food does not significantly affect absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Nadolol,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Nadolol,Avoid natural licorice.,,,,,,,,,,,,,,,,,,,,,,,,
Nadolol,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Nebivolol,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Nebivolol,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
